팀,상대팀,선수명,세부카테고리,SO,BB,H,AVG,RBI,HR,구분
한화,롯데,임종찬,,,,,0.375,1,0,타자
한화,롯데,하주석,,,,,0.353,4,0,타자
한화,롯데,문현빈,,,,,0.339,7,0,타자
한화,롯데,최재훈,,,,,0.333,4,0,타자
한화,롯데,김태연,,,,,0.296,0,0,타자
한화,롯데,와이스,,53,10,19,,,,투수
한화,롯데,류현진,,20,2,23,,,,투수
한화,롯데,폰세,,19,4,8,,,,투수
한화,롯데,한승혁,,9,3,10,,,,투수
한화,롯데,정우주,,6,1,1,,,,투수
롯데,한화,박재엽,,,,,0.5,3,1,타자
롯데,한화,윤동희,,,,,0.356,7,2,타자
롯데,한화,이호준,,,,,0.333,1,0,타자
롯데,한화,한태양,,,,,0.31,0,0,타자
롯데,한화,전민재,,,,,0.3,4,0,타자
롯데,한화,나균안,,18,4,12,,,,투수
롯데,한화,데이비슨,,15,4,14,,,,투수
롯데,한화,박세웅,,15,8,18,,,,투수
롯데,한화,김원중,,14,4,12,,,,투수
롯데,한화,감보아,,9,5,12,,,,투수
