순위,선수명,팀명,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
1,강재민,한화,0,0,0,0,0,0,0,0,0,0
2,윤산흠,한화,1,1,0,0,0,0,3,0,0,0.143
2,이태양,한화,1,0,0,0,0,0,1,0,0,0.25
2,정우주,한화,1,0,0,1,1,2,6,0,0,0.091
5,권민규,한화,2,0,0,0,0,0,0,0,0,0.4
6,김기중,한화,3,0,0,0,0,0,3,1,0,0.2
6,김범수,한화,3,0,0,0,3,1,3,0,0,0.333
6,주현상,한화,3,2,0,0,0,0,5,0,0,0.15
9,김서현,한화,4,0,0,0,4,2,4,1,0,0.19
10,조동욱,한화,5,1,0,0,1,2,2,1,0,0.263
10,황준서,한화,5,2,0,0,1,0,6,0,0,0.313
12,김종수,한화,6,1,0,0,2,1,3,0,1,0.3
13,엄상백,한화,7,2,1,1,3,0,6,0,0,0.333
14,폰세,한화,8,2,0,0,4,0,19,0,0,0.17
15,한승혁,한화,10,0,1,1,3,0,9,0,0,0.303
16,문동주,한화,11,4,1,1,4,0,5,0,0,0.379
17,박상원,한화,13,4,0,0,3,1,2,0,0,0.448
18,와이스,한화,19,4,0,1,10,1,53,2,0,0.136
19,류현진,한화,23,4,1,1,2,1,20,0,0,0.258
